source	record_id	field	original	editado	old_tokens	new_tokens	context
1580 Sahagún/Máynez	1580-sahagun-maynez:001552	Comentario	pochtecayocaxitl	pochtecayocaxitl	chiqujvites	chiquivites	man pochtecaio caxitl pintadas de blanco. Lib. 9, fol. 33, p. 341 r. [Al referirse de las provisiones que tomaban los mercaderes para su convite] Y también se proveía de chiqujvites, y de vasos para beber, que se llaman puchtecaio caxitl . Lib. 9, fol. 38, p. 346 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:001592	Comentario	quetzalcoatl*	quetzalcoatl	tlacamazquj | tlacamacazquj | tlipotonquj	tlacamazqui | tlacamacazqui | tlipotonqui	legía el rey o señor, y todos los principales: y llamábanle Quetzalcoatl: y eran dos los que eran sumos sacerdotes, el uno se llamaba totec tlamacazqui: y el otro tlaloc tlacamazquj: Y el que se llamaba quetzalcoatl totec tlacamacazquj, servía al dios uitsilobuchtli: y el otro que se llamaba tlaloc tlamacazqui, servía al dios tlalocan tecutli. Lib.
1580 Sahagún/Máynez	1580-sahagun-maynez:001623	Comentario	quiliton	quiliton	chiqujllos	chiquillos	"QUILITON: ""Verdurilla"" (Quiliton) Hay otra manera de papagayos que se llama , quiliton : son estos chiqujllos, tienen la cabeza colorada, el cuerpo todo verde: los escudos de las alas coloradas. Comen maíz y frijoles, deprenden a hablar habla lo que molesta. Lib. 11, fol. 23, p."
1580 Sahagún/Máynez	1580-sahagun-maynez:001639	Comentario	axayacatl	axayacatl	moqujujstli	moquiuistli	n de ellos los de tenuchtitlan: y por esto, los de tlatelulco, no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco, llamóse moqujujstli. Y el dicho Axaiaca , gano, o conquistó, estos pueblos o provincias, tlacotepec, Cozcaquauhtenco, callimaia, metepec, calistlaoaca, hecatepec, teutenanco, Malinaltenco,
1580 Sahagún/Máynez	1580-sahagun-maynez:001640	Comentario	axcuahuitl	axcuahuitl	coqujillos	coquillos	"AXCUAHUITL: ""Árbol de axin"" (Axcuahuitl) El ungüento amarillo llamado axin: tiene lo siguiente que es muy amarillo, blando y cálido. Este axin se hace de unos coqujillos como moscas, que nacen en el árbol, que se dice axcuahuitl , cuyas hojas las comen y ponen huevos de que se engendran dichos. Lib. 10, fol. 66, p. 68 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:001657	Comentario	tamalli	tamalli	vauhqujltamalli | vauhqujltamalli | vauhqujltamalli | aouhqujltamales | oauhqujltamalli	vauhquiltamalli | vauhquiltamalli | vauhquiltamalli | aouhquiltamales | oauhquiltamalli	ferirse a las ceremonias que hacían en el décimo octavo mes llamado Izcalli] ...y daban a cada uno de estos mozos y muchachos un tamal hecho de bledos que ellos llamaban vauhqujltamalli: los cuales todo el pueblo ofrecía aquel día. Lib. 2, fol. 11, p. 65 v. [Al referirse de la fiesta Huey Tecuilhuitl] Daban tamales de muchas maneras; unos llamaban, tene
1580 Sahagún/Máynez	1580-sahagun-maynez:001771	Comentario	temacpalitotiqueh*	temacpalitotique	izqujerdo	izquierdo	r que había muerto en el parto, comenta] También procuraban unos hechiceros que se llaman temamacpalitotique , de hurtar el cuerpo de esta difunta para cortarle el brazo izqujerdo con la mano porque para hacer sus encantamjentos, decían que tenía virtud el brazo y mano, para quitar el ánimo de los que estaban en la casa, que iba a hurtar. Lib. 6,
1580 Sahagún/Máynez	1580-sahagun-maynez:001775	Comentario	temazatl	temazatl	chiqujllo	chiquillo	"TEMAZATL: ""Venado de la piedra"" (Temazatl) La cierva no tiene cuernos, cuando es chiqujllo, el ciervo, o cierva es pintado, de unas pintas blancas, espesas por todo el cuerpo. El temazatl es cabra montesas. Lib. 11, fol. 16, p. 170 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001788	Comentario	ayonanacatl*	ayonanacatl	aionacaqujlitl	aionacaquilitl	"AYONANACATL* : ""Parte carnosa de la calabaza"" (Ayonanacatl) [Al referirse a las diferentes hierbas, dice:] Ayonanacatl o aionacaqujlitl, quiere decir calabazas tiernas. Lib. 8, fol. 24, p. 274 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001808	Comentario	tentlil	tentlil	calpisquj	calpisqui	ue residía en el pueblo de Mictlan quauhtla: y otro que se llamaba teociniocatl, que residía en el pueblo de teociniocan, y otro que se llamaba Cujtlalpetoc. Este no era calpisquj, sino criado de uno de estos calpisques, y principalejo: y otro principalejo, que se llamaba tentlil . Lib. 12, fol. 3, p. 410 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:001831	Comentario	teohuauhquilitl*	teohuauhquilitl	veiquauhqujlitl	veiquauhquilitl	"TEOHUAUHQUILITL* : ""Hierba comestible del amaranto auténtico"" (Teohuauhquilitl) Hay otra manera de hierba que se llama veiquauhqujlitl o teohuauhquilitl son bledos silvestres y cómense cocidos y son amargos antes de cocerse y después son sabrosas. Lib. 11, fol. 135, p. 287 v."
1580 Sahagún/Máynez	1580-sahagun-maynez:001883	Comentario	tepeacocoxochitl*	tepeacocoxochitl	yztaqujlitl	yztaquilitl	"TEPEACOCOXOCHITL* : ""La acocoxóchitl del monte"" Hay otra hierba medicinal que se llama yztaqujlitl, por otro nombre tepeacocoxochitl : es mata tiene las ramas largas tiene las hojas menudas, como las del cedro: es muy verde y lisa. la raíz de esta hierba no aprovecha"
1580 Sahagún/Máynez	1580-sahagun-maynez:001951	Comentario	cacalotl	cacalotl	chiqujujtl	chiquiuitl	"ostado"" (Cacalote) [A los muchachos que se criaban en la telpochcalli y se encargaban de enramar los altares en el mes de Teotlehco:] Dábanles por esto, en cada casa, un chiqujujtl de maíz, o cuatro mazorcas y los más pobres dábanlos dos o tres mazorcas: llamaban a esto cacalote, como quien dice aguinaldo, para que comiesen tostado: y no lo comían"
1580 Sahagún/Máynez	1580-sahagun-maynez:002048	Comentario	tlacatecatl*	tlacatecatl	tequjoacacalli	tequioacacalli	ue tuvo don Antonio de mendoza, con los chichimecas de nochtlan, y suchipillan y totlan, y de los de seibola. Lib. 8, fol. 6, p. 256 v. Otra sala del palacio, se llamaba tequjoacacalli, o por otro nombre quauhcalli: en este lugar se juntaban los capitanes, que se nombraban tlatlacochcalca, y tlatlacateca, para el consejo de guerra. Lib. 8, fol. 27, p.
1580 Sahagún/Máynez	1580-sahagun-maynez:002068	Comentario	tlachinolacatl	tlachinolacatl	chiqujhujtes	chiquihuites	mercaderes de hacer banquetes, dice:] Compraban también muchas gallinas, y gallos de papada y mucha loza, todo la que era menester, para servicio de la comida y también chiqujhujtes de muchas maneras, y jícaras de barro, para beber, y palos para revolver el cacao, y mucha leña para guisar la comida, y cañas de maíz o otras cañas que se llama, tlachi
1580 Sahagún/Máynez	1580-sahagun-maynez:002081	Comentario	tlacochcalcatl*	tlacochcalcatl	tequjoacacalli	tequioacacalli	mbran, el primero se llamaba Miscoatlaylotlac..., el tercero tlacuchcalcatl: estos eran todos de tlatelulco. Lib. 8, fol. 26, p. 276 v. Otra sala del palacio, se llamaba tequjoacacalli, o por otro nombre quauhcalli: en este lugar se juntaban los capitanes, que se nombraban tlatlacochcalca, y tlatlacatecca, para el consejo de guerra. Lib. 8, fol. 27, p.
1580 Sahagún/Máynez	1580-sahagun-maynez:002108	Comentario	tlacxitlan	tlacxitlan	trasqujlados	trasquilados	maneras de muerte por justicia. Y también allí juzgaban a los principales nobles, o cónsules, cuando caían en algún crimen, condenábanlos a muerte, o a destierro o a ser trasqujlados, o le hacían macegual, o le desterraban perpetuamente del palacio o echábanlos presos, en unas jaulas recias y grandes. También allí los señores, libertaban a los esclav
1580 Sahagún/Máynez	1580-sahagun-maynez:002111	Comentario	calionahuac	calionahuac	chiqujujtes | chqujujtl	chiquiuites | chquiuitl	on estas hierbas, enramaban al dios de las mieses cuya imagen, cada uno tenía en su casa, y componíanla con papeles y ponían comida, delante de él, de esta imagen, cinco chiqujujtes, con sus tortillas: y encima de cada chqujujtl, una rama asada de cierta manera guisada y también ponían delante de esta imagen, un chiquihuite de harina de chian, que e
1580 Sahagún/Máynez	1580-sahagun-maynez:002186	Comentario	achochoquilitl*	achochoquilitl	avexocaqujlitl	avexocaquilitl	esta hierba que si los muchachos o muchachas la comen hácense impotentes para engendrar pero después de grandes todos la comen seguramente, también esta hierba se llama avexocaqujlitl. Lib. 11, fol. 136, p. 288 r.
